Run,BioSample,LibraryName,refGenome,refPath
SRR1946340,SAMN03327184,SAMN03327184,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946341,SAMN03327185,SAMN03327185,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946342,SAMN03327186,SAMN03327186,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946343,SAMN03327187,SAMN03327187,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946344,SAMN03327188,SAMN03327188,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946345,SAMN03327189,SAMN03327189,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946346,SAMN03327190,SAMN03327190,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946347,SAMN03327191,SAMN03327191,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946348,SAMN03327192,SAMN03327192,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946349,SAMN03327193,SAMN03327193,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946350,SAMN03327194,SAMN03327194,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946351,SAMN03327195,SAMN03327195,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946352,SAMN03327196,SAMN03327196,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946353,SAMN03327197,SAMN03327197,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946354,SAMN03327198,SAMN03327198,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946355,SAMN03327199,SAMN03327199,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946356,SAMN03327200,SAMN03327200,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946357,SAMN03327201,SAMN03327201,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946358,SAMN03327202,SAMN03327202,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946359,SAMN03327203,SAMN03327203,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946360,SAMN03327204,SAMN03327204,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946361,SAMN03327205,SAMN03327205,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946362,SAMN03327206,SAMN03327206,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946363,SAMN03327207,SAMN03327207,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946364,SAMN03327208,SAMN03327208,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946365,SAMN03327209,SAMN03327209,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946366,SAMN03327210,SAMN03327210,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946367,SAMN03327211,SAMN03327211,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946368,SAMN03327212,SAMN03327212,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946369,SAMN03327213,SAMN03327213,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946370,SAMN03327214,SAMN03327214,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946371,SAMN03327215,SAMN03327215,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946372,SAMN03327216,SAMN03327216,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946373,SAMN03327217,SAMN03327217,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946374,SAMN03327218,SAMN03327218,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946375,SAMN03327219,SAMN03327219,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946376,SAMN03327220,SAMN03327220,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946377,SAMN03327221,SAMN03327221,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946378,SAMN03327222,SAMN03327222,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946379,SAMN03327223,SAMN03327223,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946380,SAMN03327224,SAMN03327224,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946381,SAMN03327225,SAMN03327225,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946382,SAMN03327226,SAMN03327226,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946383,SAMN03327227,SAMN03327227,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946384,SAMN03327228,SAMN03327228,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946385,SAMN03327229,SAMN03327229,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946386,SAMN03327230,SAMN03327230,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946387,SAMN03327231,SAMN03327231,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946388,SAMN03327232,SAMN03327232,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946389,SAMN03327233,SAMN03327233,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946390,SAMN03327234,SAMN03327234,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946391,SAMN03327235,SAMN03327235,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946392,SAMN03327236,SAMN03327236,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946393,SAMN03327237,SAMN03327237,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946394,SAMN03327238,SAMN03327238,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946395,SAMN03327239,SAMN03327239,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946396,SAMN03327240,SAMN03327240,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946397,SAMN03327241,SAMN03327241,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946398,SAMN03327242,SAMN03327242,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946399,SAMN03327243,SAMN03327243,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946400,SAMN03327244,SAMN03327244,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946401,SAMN03327245,SAMN03327245,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946402,SAMN03327246,SAMN03327246,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946403,SAMN03327247,SAMN03327247,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946404,SAMN03327248,SAMN03327248,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946405,SAMN03327249,SAMN03327249,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946406,SAMN03327250,SAMN03327250,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946407,SAMN03327251,SAMN03327251,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946408,SAMN03327252,SAMN03327252,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
